var+N+IVDekl+Nom+Dsk	varas
var+N+IVDekl+Dat	varai
var+N+IVDekl+Gen	varas
var+N+IVDekl+Nom	vara
brāl+N+IIDekl+Dat	brālim
brāl+N+IIDekl+Nom	brālis
brāl+N+IIDekl+Aku	brāli
brāl+N+IIDekl+Loc	brālī
brāl+N+IIDekl+Loc+Dsk	brāļos
brāl+N+IIDekl+Aku+Dsk	brāļus
brāl+N+IIDekl+Dat+Dsk	brāļiem
brāl+N+IIDekl+Gen+Dsk	brāļu
brāl+N+IIDekl+Nom+Dsk	brāļi
brāl+N+IIDekl+Gen	brāļa
prāt+N+IDekl+Dat+Dsk	prātiem
prāt+N+IDekl+Nom+Dsk	prāti
prāt+N+IDekl+Loc+Dsk	prātos
prāt+N+IDekl+Aku+Dsk	prātus
prāt+N+IDekl+Gen+Dsk	prātu
prāt+N+IDekl+Aku	prātu
prāt+N+IDekl+Loc	prātā
prāt+N+IDekl+Dat	prātam
prāt+N+IDekl+Gen	prāta
prāt+N+IDekl+Nom	prāts
pil+N+VIDekl+Loc+Dsk	pilīs
pil+N+VIDekl+Dat+Dsk	pilīm
pil+N+VIDekl+Loc	pilī
pil+N+VIDekl+Gen+Dsk	pilu
pil+N+VIDekl+Aku+Dsk	pilis
pil+N+VIDekl+Nom+Dsk	pilis
pil+N+VIDekl+Dat	pilij
pil+N+VIDekl+Aku	pili
pil+N+VIDekl+Gen	pils
pil+N+VIDekl+Nom	pils
ūden+N+IIDekl+Dat	ūdenim
ūden+N+IIDekl+Nom	ūdenis
ūden+N+IIDekl+Aku	ūdeni
ūden+N+IIDekl+Loc	ūdenī
ūden+N+IIDekl+Loc+Dsk	ūdenos
ūden+N+IIDekl+Aku+Dsk	ūdenus
ūden+N+IIDekl+Dat+Dsk	ūdeniem
ūden+N+IIDekl+Gen+Dsk	ūdenu
ūden+N+IIDekl+Nom+Dsk	ūdeni
ūden+N+IIDekl+Gen	ūdena
gulb+N+IIDekl+Dat	gulbim
gulb+N+IIDekl+Nom	gulbis
gulb+N+IIDekl+Aku	gulbi
gulb+N+IIDekl+Loc	gulbī
gulb+N+IIDekl+Loc+Dsk	gulbjos
gulb+N+IIDekl+Aku+Dsk	gulbjus
gulb+N+IIDekl+Dat+Dsk	gulbjiem
gulb+N+IIDekl+Gen+Dsk	gulbju
gulb+N+IIDekl+Nom+Dsk	gulbji
gulb+N+IIDekl+Gen	gulbja
+ARkrūz+N+VDekl+Ins+Dsk	ar krūzēm
+ARkrūz+N+VDekl+Ins	ar krūzi
+ARkrīt+N+IDekl+Ins+Dsk	ar krītiem
+ARkrīt+N+IDekl+Ins	ar krītu
+ARkrēsl+N+IDekl+Ins+Dsk	ar krēsliem
+ARkrēsl+N+IDekl+Ins	ar krēslu
+ARklas+N+VDekl+Ins+Dsk	ar klasēm
+ARklas+N+VDekl+Ins	ar klasi
+ARkurv+N+IIDekl+Ins	ar kurvi
+ARkurv+N+IIDekl+Ins+Dsk	ar kurvjiem
+ARdien+N+IVDekl+Ins+Dsk	ar dienām
+ARdien+N+IVDekl+Ins	ar dienu
+ARlaim+N+VDekl+Ins+Dsk	ar laimēm
+ARlaim+N+VDekl+Ins	ar laimi
+ARliet+N+IIIDekl+Ins+Dsk	ar lietiem
+ARliet+N+IIIDekl+Ins	ar lietu
+ARled+N+IIIDekl+Ins+Dsk	ar lediem
+ARled+N+IIIDekl+Ins	ar ledu
+ARskap+N+IIDekl+Ins	ar skapi
+ARskap+N+IIDekl+Ins+Dsk	ar skapjiem
+ARsird+N+VIDekl+Ins+Dsk	ar sirdīm
+ARsird+N+VIDekl+Ins	ar sirdi
+ARmed+N+IIIDekl+Ins+Dsk	ar mediem
+ARmed+N+IIIDekl+Ins	ar medu
+ARmāj+N+IVDekl+Ins+Dsk	ar mājām
+ARmāj+N+IVDekl+Ins	ar māju
+ARnakt+N+VIDekl+Ins+Dsk	ar naktīm
+ARnakt+N+VIDekl+Ins	ar nakti
+ARvar+N+IVDekl+Ins+Dsk	ar varām
+ARvar+N+IVDekl+Ins	ar varu
+ARbrāl+N+IIDekl+Ins	ar brāli
+ARbrāl+N+IIDekl+Ins+Dsk	ar brāļiem
+ARprāt+N+IDekl+Ins+Dsk	ar prātiem
+ARprāt+N+IDekl+Ins	ar prātu
+ARpil+N+VIDekl+Ins+Dsk	ar pilīm
+ARpil+N+VIDekl+Ins	ar pili
+ARūden+N+IIDekl+Ins	ar ūdeni
+ARūden+N+IIDekl+Ins+Dsk	ar ūdeniem
+ARgulb+N+IIDekl+Ins	ar gulbi
+ARgulb+N+IIDekl+Ins+Dsk	ar gulbjiem
